question,pororo_ner
정여창은 어떻게 죽었나?,"[('정여창', 'PERSON'), ('은', 'O'), (' ', 'O'), ('어떻게', 'O'), (' ', 'O'), ('죽었나?', 'O')]"
아멜리아는 빅토르의 직업을 무엇으로 착각하나요?,"[('아멜리아', 'PERSON'), ('는', 'O'), (' ', 'O'), ('빅토르', 'PERSON'), ('의', 'O'), (' ', 'O'), ('직업을', 'O'), (' ', 'O'), ('무엇으로', 'O'), (' ', 'O'), ('착각하나요?', 'O')]"
우핑가스 왕조의 이름은 어디서 유래하였나?,"[('우핑가스 왕조', 'CIVILIZATION'), ('의', 'O'), (' ', 'O'), ('이름은', 'O'), (' ', 'O'), ('어디서', 'O'), (' ', 'O'), ('유래하였나?', 'O')]"
장면이 한국으로 돌아온 년도는?,"[('장면이', 'O'), (' ', 'O'), ('한국', 'COUNTRY'), ('으로', 'O'), (' ', 'O'), ('돌아온', 'O'), (' ', 'O'), ('년도는?', 'O')]"
유대교의 지나친 차별을 타파하려한 사람은?,"[('유대교', 'ORGANIZATION'), ('의', 'O'), (' ', 'O'), ('지나친', 'O'), (' ', 'O'), ('차별을', 'O'), (' ', 'O'), ('타파하려한', 'O'), (' ', 'O'), ('사람은?', 'O')]"
권번에서 요릿집에 제공한 기생 명부의 이름은?,"[('권번에서', 'O'), (' ', 'O'), ('요릿집에', 'O'), (' ', 'O'), ('제공한', 'O'), (' ', 'O'), ('기생', 'CIVILIZATION'), (' ', 'O'), ('명부의', 'O'), (' ', 'O'), ('이름은?', 'O')]"
영국군 약 42만명의 사상자가 발생한 전투가 시작된 연도는?,"[('영국군', 'ORGANIZATION'), (' ', 'O'), ('약 42만명', 'QUANTITY'), ('의', 'O'), (' ', 'O'), ('사상자', 'CIVILIZATION'), ('가', 'O'), (' ', 'O'), ('발생한', 'O'), (' ', 'O'), ('전투가', 'O'), (' ', 'O'), ('시작된', 'O'), (' ', 'O'), ('연도는?', 'O')]"
웨이크필드가 15번째 시즌에 활약한 팀의 이름은?,"[('웨이크필드', 'PERSON'), ('가', 'O'), (' ', 'O'), ('15번째', 'QUANTITY'), (' ', 'O'), ('시즌에', 'O'), (' ', 'O'), ('활약한', 'O'), (' ', 'O'), ('팀의', 'O'), (' ', 'O'), ('이름은?', 'O')]"
김상옥이 종로경찰서에 폭탄을 던진 직후 피신한 곳은?,"[('김상옥', 'PERSON'), ('이', 'O'), (' ', 'O'), ('종로경찰서', 'ORGANIZATION'), ('에', 'O'), (' ', 'O'), ('폭탄', 'ARTIFACT'), ('을', 'O'), (' ', 'O'), ('던진', 'O'), (' ', 'O'), ('직후', 'O'), (' ', 'O'), ('피신한', 'O'), (' ', 'O'), ('곳은?', 'O')]"
윤치호가 극찬했던 조선시대의 인물은 누구인가요?,"[('윤치호', 'PERSON'), ('가', 'O'), (' ', 'O'), ('극찬했던', 'O'), (' ', 'O'), ('조선시대', 'DATE'), ('의', 'O'), (' ', 'O'), ('인물은', 'O'), (' ', 'O'), ('누구인가요?', 'O')]"
항우가 진나라를 멸하면서 조왕 헐은 어디로 이동했는가?,"[('항우', 'PERSON'), ('가', 'O'), (' ', 'O'), ('진나라', 'LOCATION'), ('를', 'O'), (' ', 'O'), ('멸하면서', 'O'), (' ', 'O'), ('조왕', 'CIVILIZATION'), (' ', 'O'), ('헐', 'PERSON'), ('은', 'O'), (' ', 'O'), ('어디로', 'O'), (' ', 'O'), ('이동했는가?', 'O')]"
30일에 한달 연장 근무를 신청하는 병사가 상금으로 받게 되는 금액은?,"[('30일', 'DATE'), ('에', 'O'), (' ', 'O'), ('한달', 'DATE'), (' ', 'O'), ('연장', 'O'), (' ', 'O'), ('근무를', 'O'), (' ', 'O'), ('신청하는', 'O'), (' ', 'O'), ('병사', 'CIVILIZATION'), ('가', 'O'), (' ', 'O'), ('상금으로', 'O'), (' ', 'O'), ('받게', 'O'), (' ', 'O'), ('되는', 'O'), (' ', 'O'), ('금액은?', 'O')]"
슈만이 미군에게 포로로 잡혔던 년도는?,"[('슈만', 'PERSON'), ('이', 'O'), (' ', 'O'), ('미군', 'ORGANIZATION'), ('에게', 'O'), (' ', 'O'), ('포로', 'CIVILIZATION'), ('로', 'O'), (' ', 'O'), ('잡혔던', 'O'), (' ', 'O'), ('년도는?', 'O')]"
김건의 할아버지가 세운 학교는?,"[('김건', 'PERSON'), ('의', 'O'), (' ', 'O'), ('할아버지', 'CIVILIZATION'), ('가', 'O'), (' ', 'O'), ('세운', 'O'), (' ', 'O'), ('학교는?', 'O')]"
뇌에 탈피 신호를 보내는 부위는?,"[('뇌', 'TERM'), ('에', 'O'), (' ', 'O'), ('탈피', 'O'), (' ', 'O'), ('신호를', 'O'), (' ', 'O'), ('보내는', 'O'), (' ', 'O'), ('부위는?', 'O')]"
툴민은 ≪코스모폴리스≫에서 근대과학과 무엇에 대해 비평하나요?,"[('툴민', 'PERSON'), ('은', 'O'), (' ', 'O'), ('≪', 'O'), ('코스모폴리스', 'ARTIFACT'), ('≫에서', 'O'), (' ', 'O'), ('근대과학', 'STUDY_FIELD'), ('과', 'O'), (' ', 'O'), ('무엇에', 'O'), (' ', 'O'), ('대해', 'O'), (' ', 'O'), ('비평하나요?', 'O')]"
아테네와 파트라간의 거리는?,"[('아테네', 'CITY'), ('와', 'O'), (' ', 'O'), ('파트라', 'CITY'), ('간의', 'O'), (' ', 'O'), ('거리는?', 'O')]"
페리데코가 궁전으로 주문한 서재는 무엇으로 널리 알려져 있었나요?,"[('페리데코', 'PERSON'), ('가', 'O'), (' ', 'O'), ('궁전으로', 'O'), (' ', 'O'), ('주문한', 'O'), (' ', 'O'), ('서재는', 'O'), (' ', 'O'), ('무엇으로', 'O'), (' ', 'O'), ('널리', 'O'), (' ', 'O'), ('알려져', 'O'), (' ', 'O'), ('있었나요?', 'O')]"
카르텔 내부의 세력 다툼이 일어나기 전 카르텔의 리더는 누구였나?,"[('카르텔', 'O'), (' ', 'O'), ('내부의', 'O'), (' ', 'O'), ('세력', 'O'), (' ', 'O'), ('다툼이', 'O'), (' ', 'O'), ('일어나기', 'O'), (' ', 'O'), ('전', 'O'), (' ', 'O'), ('카르텔의', 'O'), (' ', 'O'), ('리더', 'OCCUPATION'), ('는', 'O'), (' ', 'O'), ('누구였나?', 'O')]"
개건 현대화의 계기가 된 승리자동차련합기업소의 생산 설비는?,"[('개건', 'O'), (' ', 'O'), ('현대화의', 'O'), (' ', 'O'), ('계기가', 'O'), (' ', 'O'), ('된', 'O'), (' ', 'O'), ('승리자동차련합기업소', 'ARTIFACT'), ('의', 'O'), (' ', 'O'), ('생산', 'O'), (' ', 'O'), ('설비는?', 'O')]"
잘록한 허리가 두드러지게 옷을 입는 방법은?,"[('잘록한', 'O'), (' ', 'O'), ('허리', 'ANIMAL'), ('가', 'O'), (' ', 'O'), ('두드러지게', 'O'), (' ', 'O'), ('옷을', 'O'), (' ', 'O'), ('입는', 'O'), (' ', 'O'), ('방법은?', 'O')]"
도연주와 백승희는 무슨 사이로 알려졌나?,"[('도연주', 'PERSON'), ('와', 'O'), (' ', 'O'), ('백승희', 'PERSON'), ('는', 'O'), (' ', 'O'), ('무슨', 'O'), (' ', 'O'), ('사이로', 'O'), (' ', 'O'), ('알려졌나?', 'O')]"
러시아가 ISIL과 타 반정부 단체와 전투를 벌인 년도는?,"[('러시아', 'COUNTRY'), ('가', 'O'), (' ', 'O'), ('ISIL', 'ORGANIZATION'), ('과', 'O'), (' ', 'O'), ('타', 'O'), (' ', 'O'), ('반정부', 'O'), (' ', 'O'), ('단체와', 'O'), (' ', 'O'), ('전투를', 'O'), (' ', 'O'), ('벌인', 'O'), (' ', 'O'), ('년도는?', 'O')]"
비트겐슈타인은 누구와 친구가 되었는가?,"[('비트겐슈타인', 'PERSON'), ('은', 'O'), (' ', 'O'), ('누구와', 'O'), (' ', 'O'), ('친구', 'CIVILIZATION'), ('가', 'O'), (' ', 'O'), ('되었는가?', 'O')]"
뷰포트는 대개 무슨 모양인가?,"[('뷰포트는', 'O'), (' ', 'O'), ('대개', 'O'), (' ', 'O'), ('무슨', 'O'), (' ', 'O'), ('모양인가?', 'O')]"
브루노 라이헨바흐의 직업은?,"[('브루노 라이헨바흐', 'PERSON'), ('의', 'O'), (' ', 'O'), ('직업은?', 'O')]"
차바하르항은 어떤 나라 덕분에 미국의 제재를 받지 않게 되었나?,"[('차바하르항', 'LOCATION'), ('은', 'O'), (' ', 'O'), ('어떤', 'O'), (' ', 'O'), ('나라', 'O'), (' ', 'O'), ('덕분에', 'O'), (' ', 'O'), ('미국', 'COUNTRY'), ('의', 'O'), (' ', 'O'), ('제재를', 'O'), (' ', 'O'), ('받지', 'O'), (' ', 'O'), ('않게', 'O'), (' ', 'O'), ('되었나?', 'O')]"
항공기에 기름을 바르는 것은 누구의 일인가?,"[('항공기', 'ARTIFACT'), ('에', 'O'), (' ', 'O'), ('기름', 'MATERIAL'), ('을', 'O'), (' ', 'O'), ('바르는', 'O'), (' ', 'O'), ('것은', 'O'), (' ', 'O'), ('누구의', 'O'), (' ', 'O'), ('일인가?', 'O')]"
완장에 있는 별모양과 비슷한 모양의 빛을 뿜는 것은 누구의 손인가?,"[('완장에', 'O'), (' ', 'O'), ('있는', 'O'), (' ', 'O'), ('별모양', 'TERM'), ('과', 'O'), (' ', 'O'), ('비슷한 모양', 'TERM'), ('의', 'O'), (' ', 'O'), ('빛을', 'O'), (' ', 'O'), ('뿜는', 'O'), (' ', 'O'), ('것은', 'O'), (' ', 'O'), ('누구의', 'O'), (' ', 'O'), ('손', 'ANIMAL'), ('인가?', 'O')]"
어린아이임에도 불구하고 도스필라스의 왕이 된 사람은?,"[('어린아이임에도', 'O'), (' ', 'O'), ('불구하고', 'O'), (' ', 'O'), ('도스필라스', 'LOCATION'), ('의', 'O'), (' ', 'O'), ('왕', 'OCCUPATION'), ('이', 'O'), (' ', 'O'), ('된', 'O'), (' ', 'O'), ('사람은?', 'O')]"
KANU의 의장이었던 사람이 케냐 대통령이 된 날짜는?,"[('KANU', 'ORGANIZATION'), ('의', 'O'), (' ', 'O'), ('의장', 'OCCUPATION'), ('이었던', 'O'), (' ', 'O'), ('사람이', 'O'), (' ', 'O'), ('케냐', 'COUNTRY'), (' ', 'O'), ('대통령', 'CIVILIZATION'), ('이', 'O'), (' ', 'O'), ('된', 'O'), (' ', 'O'), ('날짜는?', 'O')]"
전기화학적 기울기가 ATP와 무엇을 만들어낼 수 있는가?,"[('전기화학적', 'O'), (' ', 'O'), ('기울기가', 'O'), (' ', 'O'), ('A', 'TERM'), ('TP와', 'O'), (' ', 'O'), ('무엇을', 'O'), (' ', 'O'), ('만들어낼', 'O'), (' ', 'O'), ('수', 'O'), (' ', 'O'), ('있는가?', 'O')]"
고든 프리맨이 레이븐홈을 떠날 수 있도록 도와준 사람은?,"[('고든 프리맨', 'PERSON'), ('이', 'O'), (' ', 'O'), ('레이븐홈', 'ARTIFACT'), ('을', 'O'), (' ', 'O'), ('떠날', 'O'), (' ', 'O'), ('수', 'O'), (' ', 'O'), ('있도록', 'O'), (' ', 'O'), ('도와준', 'O'), (' ', 'O'), ('사람은?', 'O')]"
사후에 영장을 청구할 수 있는 예외조항이 존재하는 법 조항은?,"[('사후에', 'O'), (' ', 'O'), ('영장을', 'O'), (' ', 'O'), ('청구할', 'O'), (' ', 'O'), ('수', 'O'), (' ', 'O'), ('있는', 'O'), (' ', 'O'), ('예외조항이', 'O'), (' ', 'O'), ('존재하는', 'O'), (' ', 'O'), ('법', 'O'), (' ', 'O'), ('조항은?', 'O')]"
이범래는 일본에서 언제까지 도피 생활을 했나요?,"[('이범래', 'PERSON'), ('는', 'O'), (' ', 'O'), ('일본', 'COUNTRY'), ('에서', 'O'), (' ', 'O'), ('언제까지', 'O'), (' ', 'O'), ('도피', 'O'), (' ', 'O'), ('생활을', 'O'), (' ', 'O'), ('했나요?', 'O')]"
매사추세츠는 어느 지역의 사람들에게 공격을 받아 수많은 사람들이 죽었나?,"[('매사추세츠', 'LOCATION'), ('는', 'O'), (' ', 'O'), ('어느', 'O'), (' ', 'O'), ('지역의', 'O'), (' ', 'O'), ('사람들에게', 'O'), (' ', 'O'), ('공격을', 'O'), (' ', 'O'), ('받아', 'O'), (' ', 'O'), ('수많은', 'O'), (' ', 'O'), ('사람들이', 'O'), (' ', 'O'), ('죽었나?', 'O')]"
초고층 주거에서 차량과 사람의 활동 범위 중복을 최소화하는 장치는?,"[('초고층', 'O'), (' ', 'O'), ('주거에서', 'O'), (' ', 'O'), ('차량과', 'O'), (' ', 'O'), ('사람의', 'O'), (' ', 'O'), ('활동', 'O'), (' ', 'O'), ('범위', 'O'), (' ', 'O'), ('중복을', 'O'), (' ', 'O'), ('최소화하는', 'O'), (' ', 'O'), ('장치는?', 'O')]"
풍수지리사상의 관점에서 보면 선몽대는 어떤 유형에 속하나요?,"[('풍수지리사상', 'THEORY'), ('의', 'O'), (' ', 'O'), ('관점에서', 'O'), (' ', 'O'), ('보면', 'O'), (' ', 'O'), ('선몽대', 'DATE'), ('는', 'O'), (' ', 'O'), ('어떤', 'O'), (' ', 'O'), ('유형에', 'O'), (' ', 'O'), ('속하나요?', 'O')]"
농지법을 개혁할 당시 카이사르의 직위는?,"[('농지법', 'CIVILIZATION'), ('을', 'O'), (' ', 'O'), ('개혁할', 'O'), (' ', 'O'), ('당시', 'O'), (' ', 'O'), ('카이사르', 'PERSON'), ('의', 'O'), (' ', 'O'), ('직위는?', 'O')]"
조에나 머레이 스미스가 여성주의를 비판한 것은 언제인가?,"[('조에나 머레이 스미스', 'PERSON'), ('가', 'O'), (' ', 'O'), ('여성주의', 'THEORY'), ('를', 'O'), (' ', 'O'), ('비판한', 'O'), (' ', 'O'), ('것은', 'O'), (' ', 'O'), ('언제인가?', 'O')]"
BBC의 파란 경찰 박스 디자인 상표권에 대한 법적 논란이 종료된 해는?,"[('BBC', 'ORGANIZATION'), ('의', 'O'), (' ', 'O'), ('파란', 'O'), (' ', 'O'), ('경찰', 'ORGANIZATION'), (' ', 'O'), ('박스', 'O'), (' ', 'O'), ('디자인', 'O'), (' ', 'O'), ('상표권에', 'O'), (' ', 'O'), ('대한', 'O'), (' ', 'O'), ('법적', 'O'), (' ', 'O'), ('논란이', 'O'), (' ', 'O'), ('종료된', 'O'), (' ', 'O'), ('해는?', 'O')]"
도비가 아메리칸 리그에 데뷔할 수 있게 그를 발탁한 인물은?,"[('도비', 'PERSON'), ('가', 'O'), (' ', 'O'), ('아메리칸 리그', 'ORGANIZATION'), ('에', 'O'), (' ', 'O'), ('데뷔할', 'O'), (' ', 'O'), ('수', 'O'), (' ', 'O'), ('있게', 'O'), (' ', 'O'), ('그를', 'O'), (' ', 'O'), ('발탁한', 'O'), (' ', 'O'), ('인물은?', 'O')]"
이명한의 부탁을 외면한 인물의 지위는?,"[('이명한', 'PERSON'), ('의', 'O'), (' ', 'O'), ('부탁을', 'O'), (' ', 'O'), ('외면한', 'O'), (' ', 'O'), ('인물의', 'O'), (' ', 'O'), ('지위는?', 'O')]"
홀뮴이 평소와 다르게 강자성을 가지게 되는 온도는?,"[('홀뮴', 'MATERIAL'), ('이', 'O'), (' ', 'O'), ('평소와', 'O'), (' ', 'O'), ('다르게', 'O'), (' ', 'O'), ('강자성을', 'O'), (' ', 'O'), ('가지게', 'O'), (' ', 'O'), ('되는', 'O'), (' ', 'O'), ('온도는?', 'O')]"
베커먼이 훔치려고 계획한 금괴는 어디에서 왔나요?,"[('베커먼', 'PERSON'), ('이', 'O'), (' ', 'O'), ('훔치려고', 'O'), (' ', 'O'), ('계획한', 'O'), (' ', 'O'), ('금괴는', 'O'), (' ', 'O'), ('어디에서', 'O'), (' ', 'O'), ('왔나요?', 'O')]"
경기를 홍보하기 위해 언급된 사람은?,"[('경기를', 'O'), (' ', 'O'), ('홍보하기', 'O'), (' ', 'O'), ('위해', 'O'), (' ', 'O'), ('언급된', 'O'), (' ', 'O'), ('사람은?', 'O')]"
트윈타워에서의 살인사건 현장에 있던 증거품은 무엇인가?,"[('트윈타워', 'ARTIFACT'), ('에서의', 'O'), (' ', 'O'), ('살인사건', 'O'), (' ', 'O'), ('현장에', 'O'), (' ', 'O'), ('있던', 'O'), (' ', 'O'), ('증거품은', 'O'), (' ', 'O'), ('무엇인가?', 'O')]"
작중 샤를 지 브리타니아가 비판한 사상은?,"[('작중', 'O'), (' ', 'O'), ('샤를 지 브리타니아', 'PERSON'), ('가', 'O'), (' ', 'O'), ('비판한', 'O'), (' ', 'O'), ('사상은?', 'O')]"
많은 갈등을 불러온 툴민의 책은?,"[('많은', 'O'), (' ', 'O'), ('갈등을', 'O'), (' ', 'O'), ('불러온', 'O'), (' ', 'O'), ('툴민', 'PERSON'), ('의', 'O'), (' ', 'O'), ('책은?', 'O')]"
군인의 관례을 가장 잘 들어내는 문화는?,"[('군인', 'OCCUPATION'), ('의', 'O'), (' ', 'O'), ('관례을', 'O'), (' ', 'O'), ('가장', 'O'), (' ', 'O'), ('잘', 'O'), (' ', 'O'), ('들어내는', 'O'), (' ', 'O'), ('문화는?', 'O')]"
고급 외무 관리에 관한 권리와 미국 정부의 조약 비준권을 가진 기관은?,"[('고급', 'O'), (' ', 'O'), ('외무', 'O'), (' ', 'O'), ('관리에', 'O'), (' ', 'O'), ('관한', 'O'), (' ', 'O'), ('권리와', 'O'), (' ', 'O'), ('미국', 'COUNTRY'), (' ', 'O'), ('정부', 'ORGANIZATION'), ('의', 'O'), (' ', 'O'), ('조약', 'O'), (' ', 'O'), ('비준권을', 'O'), (' ', 'O'), ('가진', 'O'), (' ', 'O'), ('기관은?', 'O')]"
신 중심에서 인간 중심 사회로의 변화가 시작된 시기는?,"[('신', 'O'), (' ', 'O'), ('중심에서', 'O'), (' ', 'O'), ('인간', 'O'), (' ', 'O'), ('중심', 'O'), (' ', 'O'), ('사회로의', 'O'), (' ', 'O'), ('변화가', 'O'), (' ', 'O'), ('시작된', 'O'), (' ', 'O'), ('시기는?', 'O')]"
각절마다 미롱통 소리가 나오는 노래는?,"[('각절마다', 'O'), (' ', 'O'), ('미롱통', 'O'), (' ', 'O'), ('소리가', 'O'), (' ', 'O'), ('나오는', 'O'), (' ', 'O'), ('노래는?', 'O')]"
차으르가 경계한 세력은?,"[('차으르', 'PERSON'), ('가', 'O'), (' ', 'O'), ('경계한', 'O'), (' ', 'O'), ('세력은?', 'O')]"
영국의 <원론> 번역본은 어떤 언어로 되어 있었는가?,"[('영국', 'COUNTRY'), ('의', 'O'), (' ', 'O'), ('<', 'O'), ('원론', 'ARTIFACT'), ('>', 'O'), (' ', 'O'), ('번역본은', 'O'), (' ', 'O'), ('어떤', 'O'), (' ', 'O'), ('언어로', 'O'), (' ', 'O'), ('되어', 'O'), (' ', 'O'), ('있었는가?', 'O')]"
대만에서 단일 태풍 강우량 신기록을 남긴 지역은?,"[('대만', 'LOCATION'), ('에서', 'O'), (' ', 'O'), ('단일', 'O'), (' ', 'O'), ('태풍', 'O'), (' ', 'O'), ('강우량', 'O'), (' ', 'O'), ('신기록을', 'O'), (' ', 'O'), ('남긴', 'O'), (' ', 'O'), ('지역은?', 'O')]"
쾌속 《미에》 호는 어느 방향으로 직결 운행하는 열차인가요?,"[('쾌속', 'O'), (' ', 'O'), ('《', 'ARTIFACT'), ('미에》 호', 'ARTIFACT'), ('는', 'O'), (' ', 'O'), ('어느', 'O'), (' ', 'O'), ('방향으로', 'O'), (' ', 'O'), ('직결', 'O'), (' ', 'O'), ('운행하는', 'O'), (' ', 'O'), ('열차', 'ARTIFACT'), ('인가요?', 'O')]"
호프만 폭동이 수습된 해는?,"[('호프만 폭동', 'EVENT'), ('이', 'O'), (' ', 'O'), ('수습된', 'O'), (' ', 'O'), ('해는?', 'O')]"
을미사변 직후에 이범래는 무엇에 임명되었나요?,"[('을미사변 직후', 'DATE'), ('에', 'O'), (' ', 'O'), ('이범래', 'PERSON'), ('는', 'O'), (' ', 'O'), ('무엇에', 'O'), (' ', 'O'), ('임명되었나요?', 'O')]"
28인의 볼셰비키가 땅에 관련된 문제를 처리하고 싶었던 지역은?,"[('28인', 'QUANTITY'), ('의', 'O'), (' ', 'O'), ('볼셰비키', 'PERSON'), ('가', 'O'), (' ', 'O'), ('땅에', 'O'), (' ', 'O'), ('관련된', 'O'), (' ', 'O'), ('문제를', 'O'), (' ', 'O'), ('처리하고', 'O'), (' ', 'O'), ('싶었던', 'O'), (' ', 'O'), ('지역은?', 'O')]"
중세 초기의 스웨덴에서 역할을 제대로 수행하지 못한 것은?,"[('중세 초기', 'DATE'), ('의', 'O'), (' ', 'O'), ('스웨덴', 'COUNTRY'), ('에서', 'O'), (' ', 'O'), ('역할을', 'O'), (' ', 'O'), ('제대로', 'O'), (' ', 'O'), ('수행하지', 'O'), (' ', 'O'), ('못한', 'O'), (' ', 'O'), ('것은?', 'O')]"
러시아를 근대화하려는 노력을 통해 근대 열강의 하나로 자리잡게 한 왕은?,"[('러시아', 'COUNTRY'), ('를', 'O'), (' ', 'O'), ('근대화하려는', 'O'), (' ', 'O'), ('노력을', 'O'), (' ', 'O'), ('통해', 'O'), (' ', 'O'), ('근대', 'O'), (' ', 'O'), ('열강의', 'O'), (' ', 'O'), ('하나', 'QUANTITY'), ('로', 'O'), (' ', 'O'), ('자리잡게', 'O'), (' ', 'O'), ('한', 'O'), (' ', 'O'), ('왕', 'OCCUPATION'), ('은?', 'O')]"
나오코는 미아코토와 소개팅을 한 후 누구와 집에 돌아갔는가?,"[('나오코', 'PERSON'), ('는', 'O'), (' ', 'O'), ('미아코토', 'PERSON'), ('와', 'O'), (' ', 'O'), ('소개팅을', 'O'), (' ', 'O'), ('한', 'O'), (' ', 'O'), ('후', 'O'), (' ', 'O'), ('누구와', 'O'), (' ', 'O'), ('집에', 'O'), (' ', 'O'), ('돌아갔는가?', 'O')]"
경찰관이 딱지를 떼지 않은 것은 무엇을 위해서인가?,"[('경찰관', 'OCCUPATION'), ('이', 'O'), (' ', 'O'), ('딱지를', 'O'), (' ', 'O'), ('떼지', 'O'), (' ', 'O'), ('않은', 'O'), (' ', 'O'), ('것은', 'O'), (' ', 'O'), ('무엇을', 'O'), (' ', 'O'), ('위해서인가?', 'O')]"
농도산수가 일정하기 위한 전제조건은?,"[('농도산수가', 'O'), (' ', 'O'), ('일정하기', 'O'), (' ', 'O'), ('위한', 'O'), (' ', 'O'), ('전제조건은?', 'O')]"
둠 3과 기존의 둠 게임에서 매번 지옥에 가는 인물은?,"[('둠 3', 'ARTIFACT'), ('과', 'O'), (' ', 'O'), ('기존의', 'O'), (' ', 'O'), ('둠', 'ARTIFACT'), (' ', 'O'), ('게임에서', 'O'), (' ', 'O'), ('매번', 'O'), (' ', 'O'), ('지옥에', 'O'), (' ', 'O'), ('가는', 'O'), (' ', 'O'), ('인물은?', 'O')]"
에릭 레이먼드의 자유 소프트웨어 철학을 대변하는 글은?,"[('에릭 레이먼드', 'PERSON'), ('의', 'O'), (' ', 'O'), ('자유', 'O'), (' ', 'O'), ('소프트웨어', 'O'), (' ', 'O'), ('철학을', 'O'), (' ', 'O'), ('대변하는', 'O'), (' ', 'O'), ('글은?', 'O')]"
클라리넷 외에 유니즌의 형태로 연주되는 악기의 이름은?,"[('클라리넷', 'ARTIFACT'), (' ', 'O'), ('외에', 'O'), (' ', 'O'), ('유니즌의', 'O'), (' ', 'O'), ('형태로', 'O'), (' ', 'O'), ('연주되는', 'O'), (' ', 'O'), ('악기의', 'O'), (' ', 'O'), ('이름은?', 'O')]"
핀 막 쿠월이 복수하고자 하는 아버지의 적은?,"[('핀', 'PERSON'), (' ', 'O'), ('막 쿠월', 'PERSON'), ('이', 'O'), (' ', 'O'), ('복수하고자', 'O'), (' ', 'O'), ('하는', 'O'), (' ', 'O'), ('아버지', 'CIVILIZATION'), ('의', 'O'), (' ', 'O'), ('적은?', 'O')]"
